1;eredménytelen, haszontalan;futile;wrong answer1;wrong answer2
2;kísérlet, próbálkozás;endeavor;wrong answer1;wrong answer2
3;tékozló, pazarló;lavishing;wrong answer1;wrong answer2
4;barátságtalan;unamiable;wrong answer1;wrong answer2
5;kérlel, könyörög;to beseech;wrong answer1;wrong answer2
6;kiadás, költség;expenditure;wrong answer1;wrong answer2
7;vánszorog, baktat;to lumber;wrong answer1;wrong answer2
8;tülekedik;to scramble for;wrong answer1;wrong answer2
9;csík, sáv;streak;wrong answer1;wrong answer2
10;interpretálás, előadás;rendering;wrong answer1;wrong answer2
11;verseng, vetélkedik;to emulate;wrong answer1;wrong answer2
12;elfoglalt, lekötött;engrossed;wrong answer1;wrong answer2
